model,n,recall_at_10,recall_ci95_low,recall_ci95_high,mrr,macro_recall_at_10_observed_targets,outside_top_20_recall_at_10,masked_set_native_minus_this,paired_ci95_low,paired_ci95_high
Kaikaku/epicure-cooc/centered,20000,0.3195,0.31314875,0.32615249999999996,0.14936939044204875,0.10368394397255358,0.23376146788990826,0.2955,0.28775,0.30305125
Kaikaku/epicure-cooc/raw,20000,0.33335,0.32669875,0.34000125000000003,0.1575277413462781,0.08873800995791062,0.21211009174311926,0.28165,0.27394875,0.28910125000000003
Kaikaku/epicure-core/centered,20000,0.23365,0.2277,0.23940124999999998,0.11975764864342213,0.1420872305283608,0.22908256880733946,0.38135,0.37389875,0.38905125
Kaikaku/epicure-core/raw,20000,0.2174,0.21179874999999998,0.22315124999999997,0.11737591129093243,0.11418670100587724,0.19541284403669726,0.3976,0.39015,0.4053
alexdseo/RecipeBERT/centered,20000,0.17105,0.16595,0.17625124999999997,0.08394353412211662,0.04790209816577415,0.10128440366972477,0.44395,0.43654875,0.45125125
alexdseo/RecipeBERT/raw,20000,0.1226,0.1181,0.12705124999999998,0.058949321333754655,0.038485010142101664,0.08009174311926605,0.4924,0.4849,0.5
llmmm/ease/centered,20000,0.1645,0.15945,0.1697,0.0790658485535804,0.31263938665599417,0.21467889908256882,0.4505,0.44285,0.45840125
llmmm/ease/native,20000,0.5872,0.58035,0.5941512499999999,0.33890682048497567,0.12867434965717905,0.3423853211009174,0.0278,0.02299875,0.03285
llmmm/ease/raw,20000,0.14225,0.13719874999999998,0.14715,0.06926326321760484,0.29627310825032566,0.1914678899082569,0.47275,0.4651975,0.4807
llmmm/masked-set/centered,20000,0.21565,0.2099,0.22135,0.09262103468354942,0.03000403591207499,0.07853211009174312,0.39935,0.39099875,0.4075
llmmm/masked-set/native,20000,0.615,0.6084,0.62190125,0.3645508900144799,0.16921642147731059,0.3944954128440367,0.0,0.0,0.0
llmmm/masked-set/raw,20000,0.1291,0.1244,0.1337,0.05813058241233384,0.0839643613458602,0.11908256880733945,0.4859,0.47784875,0.49405125
popularity,20000,0.365,0.35839875,0.37195,0.1810248369349184,0.018037150083031816,0.0,0.25,0.24285,0.25685125000000003
